time (UTC),latitude (degrees_north),BEUTI (mmol m-1 s-1)
2007-07-15T00:00:00Z,40.0,15.993
2007-07-15T00:00:00Z,41.0,7.509
2007-07-15T00:00:00Z,42.0,9.597
2007-07-15T00:00:00Z,43.0,2.41
2007-07-15T00:00:00Z,44.0,0.293
2007-07-15T00:00:00Z,45.0,0.372
2007-07-15T00:00:00Z,46.0,0.041
2007-07-15T00:00:00Z,47.0,0.192
2007-08-15T00:00:00Z,31.0,0.446
2007-08-15T00:00:00Z,32.0,0.127
2007-08-15T00:00:00Z,33.0,0.013
2007-08-15T00:00:00Z,34.0,0.431
2007-08-15T00:00:00Z,35.0,1.645
2007-08-15T00:00:00Z,36.0,1.963
2007-08-15T00:00:00Z,37.0,3.063
2007-08-15T00:00:00Z,38.0,1.818
2007-08-15T00:00:00Z,39.0,6.951
2007-08-15T00:00:00Z,40.0,5.429
2007-08-15T00:00:00Z,41.0,4.529
2007-08-15T00:00:00Z,42.0,5.246
2007-08-15T00:00:00Z,43.0,2.261
2007-08-15T00:00:00Z,44.0,0.21
2007-08-15T00:00:00Z,45.0,0.327
2007-08-15T00:00:00Z,46.0,0.119
2007-08-15T00:00:00Z,47.0,0.207
2007-09-15T00:00:00Z,31.0,0.471
2007-09-15T00:00:00Z,32.0,0.264
2007-09-15T00:00:00Z,33.0,0.025
2007-09-15T00:00:00Z,34.0,0.635
2007-09-15T00:00:00Z,35.0,1.431
2007-09-15T00:00:00Z,36.0,1.763
2007-09-15T00:00:00Z,37.0,1.905
2007-09-15T00:00:00Z,38.0,3.738
2007-09-15T00:00:00Z,39.0,8.099
2007-09-15T00:00:00Z,40.0,9.6
2007-09-15T00:00:00Z,41.0,9.144
2007-09-15T00:00:00Z,42.0,10.863
2007-09-15T00:00:00Z,43.0,5.929
2007-09-15T00:00:00Z,44.0,1.01
2007-09-15T00:00:00Z,45.0,0.884
2007-09-15T00:00:00Z,46.0,0.121
2007-09-15T00:00:00Z,47.0,0.038
2007-10-15T00:00:00Z,31.0,0.824
2007-10-15T00:00:00Z,32.0,0.276
2007-10-15T00:00:00Z,33.0,0.068
2007-10-15T00:00:00Z,34.0,1.256
2007-10-15T00:00:00Z,35.0,2.857
2007-10-15T00:00:00Z,36.0,2.229
2007-10-15T00:00:00Z,37.0,4.133
2007-10-15T00:00:00Z,38.0,2.864
2007-10-15T00:00:00Z,39.0,4.365
